,timesteps,full_model,stage_event_pathologic_stage_Stage.III_clinical=0,stage_event_pathologic_stage_Stage.III_clinical=1,stage_event_pathologic_stage_Stage.IV_clinical=0,stage_event_pathologic_stage_Stage.IV_clinical=1,diagnosis_subtype_Papillary_clinical=0,diagnosis_subtype_Papillary_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1
36,625.0,0.6446845282386757,0.6493615169238629,0.6394543393337556,0.6795926040316904,0.5844802520361267,0.638190657568949,0.6561458877176074,0.6429018116332048,0.6452640786783236
37,690.0,0.6377230129553884,0.6423370207388649,0.6326467235310461,0.6755263526154116,0.5720186900217235,0.6310869044898918,0.6495376150642281,0.635838969734951,0.6383385906359133
38,796.0,0.6183960335443475,0.6233712394589739,0.6129859304266475,0.6599092812648848,0.5455800924349736,0.6111740126563285,0.6315406637614747,0.616660622689269,0.6189487090033821
39,859.0,0.589645194679041,0.5947063498961919,0.5842166527729945,0.6337265064830714,0.5128794770279437,0.581970156992089,0.6040963438447969,0.5877755937339478,0.5902337023873524
40,1029.0,0.5753756555908545,0.5806945819515135,0.5697080744005025,0.6207907123834594,0.49667291958648907,0.5687096305755124,0.5879938153729707,0.5731113707955798,0.5760431000692016
41,1108.0,0.5543646000434113,0.5608209081649836,0.5475233065533563,0.6002491069386461,0.47583598139677147,0.548283573032994,0.565372015374344,0.5522279107889708,0.5549700943490191
42,1301.0,0.5467337569041281,0.5531098311234769,0.5400522512701963,0.5953585575405618,0.46294834160617065,0.5404965406256073,0.5582198866050543,0.5446484887416843,0.5473125122418978
43,1455.0,0.5300174841707052,0.536178665464022,0.5237756271796653,0.58615438810732,0.43180867814752943,0.5238977125610855,0.5412281264637909,0.527771719816559,0.5306580741021732
44,1561.0,0.5300174841707052,0.536178665464022,0.5237756271796653,0.58615438810732,0.43180867814752943,0.5238977125610855,0.5412281264637909,0.527771719816559,0.5306580741021732
45,1775.0,0.5092496590660671,0.515789404804754,0.5027006924391009,0.5674062049434646,0.4066385462709152,0.5025571404102173,0.5218389755298363,0.507128780442827,0.5098505456816537
46,1971.0,0.4814062835856455,0.48615733133033645,0.476518342066098,0.5317992374051296,0.39292269084484344,0.4739726529938888,0.4957451355776822,0.47855414669188034,0.4821982984447161
47,2268.0,0.469901002694582,0.474561340457638,0.4652010341160619,0.5245578657348021,0.37243549842868623,0.4621843331365574,0.4848996166385485,0.46722826122827166,0.47063046858118435
48,2641.0,0.4554470845932314,0.4601074223562873,0.4509084615302288,0.5151681150846495,0.3488183958540115,0.447650471418614,0.4706697017591069,0.4528478077658308,0.45616358613179053
49,3056.0,0.4318974583254074,0.4328468655343336,0.4314599011702965,0.48423941023963285,0.33824211641438834,0.42350824735782194,0.4483689923760717,0.4290549976220868,0.4327294107949587
