,timesteps,full_model,number_of_lymphnodes_positive_by_he_clinical=0,number_of_lymphnodes_positive_by_he_clinical=1,breast_carcinoma_surgical_procedure_name_Modified.Radical.Mastectomy_clinical=0,breast_carcinoma_surgical_procedure_name_Modified.Radical.Mastectomy_clinical=1,breast_carcinoma_progesterone_receptor_status_Positive_clinical=0,breast_carcinoma_progesterone_receptor_status_Positive_clinical=1,breast_carcinoma_estrogen_receptor_status_Positive_clinical=0,breast_carcinoma_estrogen_receptor_status_Positive_clinical=1
34,1120.0,0.910925830816012,0.9286817862816289,0.9216269324796045,0.9132856473187552,0.9068054781848949,0.9065390353135093,0.9131932864194644,0.9074602948308567,0.9121176676329271
35,1170.0,0.9059983318018544,0.9239733928835393,0.9165365538072457,0.9084951229627282,0.9016446960295452,0.9017090419682866,0.9082207847888757,0.9027331400019911,0.9070837222306901
36,1217.0,0.9059983318018544,0.9239733928835393,0.9165365538072457,0.9084951229627282,0.9016446960295452,0.9017090419682866,0.9082207847888757,0.9027331400019911,0.9070837222306901
37,1305.0,0.900574760968891,0.9189426220224737,0.9093027509241808,0.9028554334600748,0.896685410910868,0.8964273834558059,0.9027261160723138,0.8976163703286452,0.9015037110293713
38,1365.0,0.8945746008175361,0.9138578142224917,0.9036171536726156,0.8966710689035751,0.8909384123667128,0.8898594856754898,0.8968934597808832,0.8917489809779191,0.8954618972935059
39,1467.0,0.8900977159555352,0.9113675947452651,0.9005736159419324,0.8925618800333138,0.8858475243721189,0.8843928515914377,0.8928587436707212,0.88753104493354,0.8908534121723541
40,1548.0,0.8832059926347124,0.9050170597974755,0.8930789890354583,0.885456737535296,0.8792728629236636,0.8778075172520944,0.8856644997020419,0.8808138599994985,0.8835962855473525
41,1628.0,0.8688930799663866,0.8922458963669544,0.8807964244146097,0.8707616728605,0.8653978994922108,0.8636231584448748,0.8713854517102338,0.865649692707429,0.8699547016966569
42,1730.0,0.8274327106368633,0.8536961037338275,0.836497765848367,0.8289719846090515,0.8241030862631082,0.8201530782722399,0.8310542770453653,0.8212641621796982,0.8292924999862917
43,1883.0,0.8200854303871622,0.8449133926919915,0.8289775831512023,0.821568490618443,0.8168798827869725,0.81301979189169,0.8236586806790943,0.8143398065740098,0.821867400635812
44,1993.0,0.7974203487591254,0.8269687028546596,0.8090054353462298,0.7989863545270504,0.7936436089519023,0.7886093456207933,0.801751903453607,0.7896019244038338,0.7995881937895348
45,2273.0,0.7499451964397228,0.7806618267614632,0.759018832716049,0.7523494078610476,0.744746786280326,0.7428659391218129,0.7534030033987787,0.744036530932285,0.751434349130726
46,2495.0,0.7103991403393887,0.7373491354420341,0.7197140847466034,0.7147577881025252,0.7012448169341964,0.7028818640154152,0.7140058027504372,0.7049451347671587,0.7115725982754112
47,2800.0,0.6658563185405675,0.6937225100638821,0.6712374418833227,0.6691396793650958,0.6588727123001117,0.661260761867292,0.6682808179879463,0.6628108866792075,0.6661795986781984
48,3330.0,0.6191945487150303,0.646786722715714,0.6251971259583669,0.6228888221022344,0.6111521576574641,0.6093453108674675,0.624111101013667,0.6100306122276911,0.6224041188322396
49,3959.0,0.49894669727511487,0.5303418721847473,0.5023026147344645,0.50023398076173,0.49583414896360556,0.488528714929501,0.5037054224621761,0.49402376896593775,0.5004790773027237
