,timesteps,full_model,laterality_Right_clinical=0,laterality_Right_clinical=1,neoplasm_histologic_grade_G2_clinical=0,neoplasm_histologic_grade_G2_clinical=1,hemoglobin_result_Normal_clinical=0,hemoglobin_result_Normal_clinical=1,white_cell_count_result_Normal_clinical=0,white_cell_count_result_Normal_clinical=1
39,1629.0,0.6710336928794762,0.6709718424368745,0.6712006711094481,0.6657692254007707,0.6782808276000373,0.6669965274177108,0.6761056415440957,0.6755347350384723,0.6678845500386439
40,1714.0,0.6598170622292139,0.6596578431453805,0.6600694515479855,0.6543555149988685,0.6673042537926147,0.6555122333793011,0.6651542956920955,0.6643181043882093,0.6566679193883818
41,1768.0,0.6495598957685845,0.6495590477254752,0.649680164668205,0.6439718131317608,0.6572223001418532,0.6451077584561944,0.655043078176229,0.6541292110199497,0.6463806324458242
42,1852.0,0.6495598957685845,0.6495590477254752,0.649680164668205,0.6439718131317608,0.6572223001418532,0.6451077584561944,0.655043078176229,0.6541292110199497,0.6463806324458242
43,1883.0,0.6495598957685845,0.6495590477254752,0.649680164668205,0.6439718131317608,0.6572223001418532,0.6451077584561944,0.655043078176229,0.6541292110199497,0.6463806324458242
44,1913.0,0.6176030484121109,0.6178687416472363,0.6175001498578768,0.6105663094454272,0.6272232147292888,0.6113306291000032,0.6251997779191093,0.6228792540592597,0.6136665774095369
45,2038.0,0.6005103184171549,0.6007760116522803,0.6004074198629208,0.5927988727682316,0.611183178405095,0.5938142849203623,0.6087513315445104,0.606572036046263,0.5961934574041224
46,2231.0,0.5622766240848234,0.562728814299932,0.5620156228818989,0.5548606293727364,0.5724298116266654,0.5569320898993689,0.5687897328095758,0.5695257158159571,0.5571121064238721
47,2358.0,0.5424845326788441,0.5427717965217977,0.5423584712349561,0.5343399490924914,0.5536913501664652,0.5365663179992908,0.5498421292450725,0.5500587265576994,0.5370997461161998
48,2438.0,0.5424845326788441,0.5427717965217977,0.5423584712349561,0.5343399490924914,0.5536913501664652,0.5365663179992908,0.5498421292450725,0.5500587265576994,0.5370997461161998
49,2575.0,0.5424845326788441,0.5427717965217977,0.5423584712349561,0.5343399490924914,0.5536913501664652,0.5365663179992908,0.5498421292450725,0.5500587265576994,0.5370997461161998
