,timesteps,full_model,number_of_lymphnodes_positive_by_he_clinical=0,number_of_lymphnodes_positive_by_he_clinical=1,tobacco_smoking_history_clinical=0,tobacco_smoking_history_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1
32,460.0,0.6823352052115358,0.7079557686848406,0.7037194958406644,0.6733250551739544,0.6733250551739544,0.6845923898603954,0.6803946680036552
33,473.0,0.6479551120743013,0.6734718303545291,0.6698098122401583,0.6357792512351638,0.6357792512351638,0.650102774552903,0.6460611039421839
34,481.0,0.6173382921196002,0.6478472156297997,0.6434575560990303,0.6006530943500249,0.6006530943500249,0.6195873433548588,0.615343059105669
35,486.0,0.5863722842996272,0.6227483812558509,0.6166489867033784,0.5711617424021016,0.5711617424021016,0.5883999489364515,0.584649071808945
36,568.0,0.5509986395972581,0.5935212768763293,0.5866631251964155,0.5319208708281267,0.5319208708281267,0.5520200850174865,0.5501980263569418
37,598.0,0.5340284821872798,0.5717841422368269,0.5659011617701799,0.5142396703837335,0.5142396703837335,0.5352482408129225,0.5330479660107158
38,607.0,0.49899906243125824,0.5425724804053657,0.5359979551478571,0.4797306525995136,0.4797306525995136,0.49989328603055766,0.4983071543490696
39,652.0,0.4441529068611238,0.4887093229181611,0.4807718903226565,0.42551180223677787,0.42551180223677787,0.4450724339245382,0.4434373614629593
40,671.0,0.4441529068611238,0.4887093229181611,0.4807718903226565,0.42551180223677787,0.42551180223677787,0.4450724339245382,0.4434373614629593
41,695.0,0.3882255550074891,0.43369723820001616,0.42307990557374586,0.3726326233084543,0.3726326233084543,0.38938992011564416,0.38729010644166856
42,720.0,0.3666307791824929,0.414680921159268,0.4036282744173314,0.35294315157678663,0.35294315157678663,0.367264781777613,0.36616512664383677
43,844.0,0.34916344265929455,0.4009848881636369,0.3892299017844276,0.33462069357832347,0.33462069357832347,0.3492140834865178,0.3492309163608329
44,859.0,0.34916344265929455,0.4009848881636369,0.3892299017844276,0.33462069357832347,0.33462069357832347,0.3492140834865178,0.3492309163608329
45,914.0,0.34916344265929455,0.4009848881636369,0.3892299017844276,0.33462069357832347,0.33462069357832347,0.3492140834865178,0.3492309163608329
46,951.0,0.34916344265929455,0.4009848881636369,0.3892299017844276,0.33462069357832347,0.33462069357832347,0.3492140834865178,0.3492309163608329
47,1130.0,0.28698257400743143,0.3452613988405254,0.3327697790470941,0.2802037813262647,0.2802037813262647,0.28771155893190514,0.28637561297134584
48,1502.0,0.25084790135038615,0.3136804668388598,0.3004223917226045,0.24185833464608802,0.24185833464608802,0.25073348134013607,0.2510064416404042
49,2172.0,0.25084790135038615,0.3136804668388598,0.3004223917226045,0.24185833464608802,0.24185833464608802,0.25073348134013607,0.2510064416404042
