,timesteps,full_model,number_of_lymphnodes_positive_by_he_clinical=0,number_of_lymphnodes_positive_by_he_clinical=1,neoplasm_histologic_grade_G3_clinical=0,neoplasm_histologic_grade_G3_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1,stage_event_pathologic_stage_Stage.IIIA_clinical=0,stage_event_pathologic_stage_Stage.IIIA_clinical=1
21,111.0,0.9568634623897678,0.9621453153810124,0.9621453153810124,0.9575802145856989,0.9563786609890295,0.9574280365590904,0.9566122185106832,0.9569143852591186,0.9567415070162367
22,126.0,0.9455353328075435,0.9521098532013094,0.9521098532013094,0.9464658261564114,0.9449118208637933,0.9460115195717416,0.9452976354102254,0.9457212839254815,0.9451743943831653
23,137.0,0.9390506120223461,0.9475677602948502,0.9475677602948502,0.9402900442432819,0.9382587126313047,0.9395267987865434,0.9388129146250277,0.9391609411757682,0.9387704249112783
24,156.0,0.9189152908449597,0.9273454748926933,0.9273454748926933,0.920896409420142,0.9176946305055927,0.9193705254943622,0.9186257608142283,0.919243456963676,0.9182740867847395
25,174.0,0.9064775530585324,0.9184266743569971,0.9184266743569971,0.9079788687595469,0.9056054132510696,0.9071577637558979,0.9060520982886983,0.9068849173691096,0.9057571378582835
26,198.0,0.9064775530585324,0.9184266743569971,0.9184266743569971,0.9079788687595469,0.9056054132510696,0.9071577637558979,0.9060520982886983,0.9068849173691096,0.9057571378582835
27,209.0,0.9003033161356322,0.9139704293416253,0.9139704293416253,0.90162083694157,0.8995564684824604,0.9010313832637055,0.8998571235791581,0.9009177627706649,0.899263469942647
28,230.0,0.887465398534633,0.9025853692136367,0.9025853692136367,0.8898902217797209,0.8859924624543263,0.8883784551267344,0.886902952400028,0.8880389682054163,0.8864719532199848
29,243.0,0.8725951938705735,0.8865966981674966,0.8865966981674966,0.8758271322246327,0.8706101111389716,0.8739088381772984,0.8717842266086347,0.8732058005783939,0.8715901352477025
30,255.0,0.8642983404640955,0.876450138810539,0.876450138810539,0.8681187923799231,0.8618520700444744,0.8656933407030228,0.8634619494733425,0.8648838373162976,0.8633635894369547
31,273.0,0.8563723180494748,0.8699096205623483,0.8699096205623483,0.8606595802233759,0.853581908263257,0.8575828197008323,0.8556168474918672,0.8569578149016771,0.8554375670223342
32,294.0,0.8235628282990423,0.8385841407496274,0.8385841407496274,0.8287942627033013,0.8200580632550141,0.8245791412043787,0.822959649235844,0.8241893449489937,0.8225608503811452
33,336.0,0.8065199809863818,0.8254290940600708,0.8254290940600708,0.8126967473151419,0.8023752887182543,0.8079134293504224,0.8056886362878151,0.8073196630687041,0.8052404175726117
34,356.0,0.7781273906270099,0.8031851332413218,0.8031851332413218,0.7850652009583964,0.7734026272909992,0.7792541179061084,0.7775114888463216,0.7790476284143513,0.776764656862978
35,378.0,0.7584806426213063,0.7875486476354902,0.7873819809688237,0.7666086902732648,0.7530748273575417,0.759959321255335,0.7577141475477459,0.7592235658839854,0.7573417893296186
36,422.0,0.7333951767822862,0.7647388701878557,0.764572203521189,0.7412334133082656,0.7281675814738955,0.7354227052778912,0.7323806310199515,0.7340887243624886,0.7323246898201806
37,457.0,0.7144606957034235,0.7463487496567889,0.7461820829901221,0.7223976057140525,0.7091432513723568,0.7168412889174692,0.7132655549330119,0.7152658845503022,0.7131789140539512
