,timesteps,full_model,tobacco_smoking_history_clinical=0,tobacco_smoking_history_clinical=1,stage_event_clinical_stage_Stage.IV.B.C_clinical=0,stage_event_clinical_stage_Stage.IV.B.C_clinical=1,neoplasm_histologic_grade_G2_clinical=0,neoplasm_histologic_grade_G2_clinical=1,alcohol_history_documented_YES_clinical=0,alcohol_history_documented_YES_clinical=1
40,1036.0,0.5968176652783002,0.5985719557416613,0.5985719557416613,0.5973758257027525,0.5965252661656537,0.6192385588767517,0.582676205768744,0.5952623138929213,0.5976053516950137
41,1081.0,0.575646316320028,0.5768510119179823,0.5768510119179823,0.576223923952464,0.5753763454459683,0.5958733432778577,0.5627674307263925,0.5740985515896591,0.5764714074867873
42,1152.0,0.5608920099298439,0.5628606423224479,0.5628606423224479,0.5618584141894752,0.560310286067543,0.5846886949682267,0.5454000447833138,0.5595824372819218,0.561644815886718
43,1266.0,0.5507150172216084,0.5522891055740736,0.5522891055740736,0.5519914185084079,0.5499440820917726,0.5767068641022123,0.5336586983039058,0.5496152766706218,0.55137979543853
44,1444.0,0.53260278434648,0.5355267040529191,0.5355267040529191,0.533257219758574,0.5321863706286729,0.563107245551027,0.5130398249552921,0.531906920702939,0.5330565584595172
45,1636.0,0.5073498792900897,0.510999292571957,0.510999292571957,0.5066339430763005,0.5077905258705107,0.5346872720597112,0.4898065472944791,0.5071172715369886,0.5075760344817194
46,1748.0,0.477401886506029,0.4773497071195868,0.4773497071195868,0.47639244853069473,0.4780825741939237,0.49951240165171795,0.46318712589352085,0.4757592084256323,0.47832027576499153
47,1972.0,0.43823099079771516,0.43938945397126583,0.43938945397126583,0.43682803628647476,0.4391925541209844,0.46557231016542716,0.4200884853655565,0.4366571589300683,0.43916591460845955
48,2570.0,0.3697396102893538,0.37509735726406634,0.37509735726406634,0.36862758951954494,0.3703436373713413,0.39841232936355375,0.3513135910024511,0.3682102288710903,0.37070997910595627
49,3381.0,0.2787243588634638,0.28924312126011337,0.28924312126011337,0.2787475409497314,0.2784265970370118,0.2989682563024438,0.2659474262446598,0.27667702736789174,0.2798584748877006
