,timesteps,full_model,stage_event_pathologic_stage_Stage.III_clinical,stage_event_pathologic_stage_Stage.IV_clinical,diagnosis_subtype_Papillary_clinical,gender_MALE_clinical
36,625.0,0.6446845282386758,6.296309015589699e-05,0.001870943570427046,0.00019387079341021875,4.0207544720813725e-06
37,690.0,0.6377230129553884,6.275343045741262e-05,0.0018979497129694874,0.00019550190228499251,4.089278358273518e-06
38,796.0,0.6183960335443476,7.435483071148498e-05,0.0020066353220025437,0.00020234002253862666,4.50424967722327e-06
39,859.0,0.589645194679041,7.90648894402259e-05,0.002158136682478238,0.00019681392987472738,4.524474550942637e-06
40,1029.0,0.5753756555908545,8.715442760602974e-05,0.0023016965571529932,0.00014917556510385047,4.665819997383639e-06
41,1108.0,0.5543646000434114,0.00011503559780772173,0.00228728376415834,0.00015476595718362233,4.500157790715413e-06
42,1301.0,0.5467337569041282,0.0001164255313760821,0.0023377770133169527,0.00015516510174328935,4.375699344213625e-06
43,1455.0,0.530017484170705,0.00011575441023165213,0.0026684690826923544,0.00014946443485949968,4.828375760909235e-06
44,1561.0,0.530017484170705,0.00011575441023165213,0.0026684690826923544,0.00014946443485949968,4.828375760909235e-06
45,1775.0,0.5092496590660671,0.00012973592251503478,0.0026708579906737245,0.00014040356512906804,4.859174690746141e-06
46,1971.0,0.4814062835856455,9.047421802970395e-05,0.0026962983548709453,0.00014123540232095232,5.990969510036497e-06
47,2268.0,0.469901002694582,8.82993709191057e-05,0.0028880210714725997,0.00014271841763231638,6.282379958481648e-06
48,2641.0,0.4554470845932314,9.09059379233295e-05,0.003304083753186169,0.00013896956664825102,6.560553697996532e-06
49,3056.0,0.4318974583254074,4.250350767728916e-05,0.0033768527984459383,0.00014357173975260447,7.2382192478357975e-06
