,timesteps,full_model,tobacco_smoking_history_clinical=0,tobacco_smoking_history_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1,anatomic_neoplasm_subdivision_R.Upper_clinical=0,anatomic_neoplasm_subdivision_R.Upper_clinical=1,stage_event_pathologic_stage_Stage.IB_clinical=0,stage_event_pathologic_stage_Stage.IB_clinical=1
13,62.0,0.9837797874344052,0.9836857438399125,0.9836857438399125,0.9836465186264003,0.9839426839731819,0.9838371501442966,0.9837048664647735,0.9825622912845484,0.9867921384931893
14,76.0,0.980883592041022,0.9808535952970037,0.9808535952970037,0.9808299677668879,0.9808831474217401,0.9809409547509134,0.9808086710713907,0.9793545631392924,0.984706625566397
15,91.0,0.9737932158307201,0.9739612528744547,0.9739612528744547,0.9738026364928698,0.9737241651305076,0.9737812748061558,0.9738497163646764,0.9717447631464454,0.9789634242488457
16,103.0,0.9706766239588087,0.9706847872299951,0.9706847872299951,0.9707296395237082,0.9705589481747599,0.9707668520806133,0.9705555011815716,0.9691371888686798,0.9745291906841893
17,115.0,0.9706766239588087,0.9706847872299951,0.9706847872299951,0.9707296395237082,0.9705589481747599,0.9707668520806133,0.9705555011815716,0.9691371888686798,0.9745291906841893
18,127.0,0.963905870453666,0.9635435935894711,0.9635435935894711,0.9638930931129833,0.9639481584506198,0.9639408289233692,0.963866305398832,0.9618769027077234,0.969119839560316
19,141.0,0.9600763944601935,0.9591051309036775,0.9591051309036775,0.9600453268221716,0.9601434281535481,0.9600712512084572,0.9601006310184563,0.9577923859391831,0.9659904103390897
20,154.0,0.9600763944601935,0.9591051309036775,0.9591051309036775,0.9600453268221716,0.9601434281535481,0.9600712512084572,0.9601006310184563,0.9577923859391831,0.9659904103390897
21,163.0,0.9559873768935913,0.9550891369479002,0.9550891369479002,0.9560661814517092,0.9558956454964025,0.9559430991734673,0.9560898522405489,0.9534239866159661,0.9627334003936701
22,179.0,0.9399592463473259,0.9399110737012788,0.9399110737012788,0.9398918270150327,0.940136716773732,0.9398489399766661,0.9401787314450962,0.9360508676302555,0.9501570956710139
23,189.0,0.9356547594478645,0.9355505678528268,0.9355505678528268,0.93554306687881,0.9359533745963565,0.9356372363740973,0.9357145558234126,0.9313464286766417,0.9469722859571655
24,208.0,0.9356547594478645,0.9355505678528268,0.9355505678528268,0.93554306687881,0.9359533745963565,0.9356372363740973,0.9357145558234126,0.9313464286766417,0.9469722859571655
25,224.0,0.9356547594478645,0.9355505678528268,0.9355505678528268,0.93554306687881,0.9359533745963565,0.9356372363740973,0.9357145558234126,0.9313464286766417,0.9469722859571655
26,244.0,0.9210906191081333,0.9201192837671761,0.9201192837671761,0.9209366612346863,0.9214159329064642,0.921090456419499,0.9211066284323878,0.91561015476278,0.9356352456171431
27,256.0,0.9210906191081333,0.9201192837671761,0.9201192837671761,0.9209366612346863,0.9214159329064642,0.921090456419499,0.9211066284323878,0.91561015476278,0.9356352456171431
28,274.0,0.9120030372635589,0.9108473568477933,0.9108473568477933,0.9119028526469363,0.9123283510618895,0.9119934849035634,0.9120420939629742,0.9058222747979775,0.9281368957061448
29,297.0,0.9120030372635589,0.9108473568477933,0.9108473568477933,0.9119028526469363,0.9123283510618895,0.9119934849035634,0.9120420939629742,0.9058222747979775,0.9281368957061448
30,327.0,0.8893745861638036,0.888783374374928,0.888783374374928,0.8895574635827372,0.8892917982177652,0.8894061816638724,0.8893612029337477,0.882308476456898,0.9076425329421619
